Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,output
577,25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.402838656,0.402838656,32.5102476,4166.29973
95,12.5,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.509158377,0.452680279,36.82658691,6244.19576
490,25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.527399614,0.48363057,40.2744187,7175.06898
594,25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.48638367,0.448597173,34.48550991,5501.87808
16,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.386518419,0.402226397,31.88184658,3901.98955
195,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.614291616,0.502062222,43.93700206,7878.81768
536,25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.463187081,0.433195442,34.2751629,5333.97357
599,25,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.570329618,0.471713424,38.70734774,7007.66825
101,12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,24,0.39,0.496618271,0.446450716,35.18597077,5912.43376
257,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.490016595,0.446912521,35.92331365,5569.13925
677,25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.532227877,0.462697311,37.32322478,6887.46649
505,25,0.5,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.462996546,0.425220363,33.60534043,5453.99382
16,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.33592747,0.377915162,28.88711983,3494.94296
734,25,0.5,0.38,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.597060641,0.496788174,41.91637397,7103.50894
477,25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.538371386,0.463064582,37.25124178,6707.59259
732,25,0.5,0.38,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.545094508,0.467852649,38.23520379,6673.304
343,12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,24,0.39,0.435969213,0.417908804,33.66987505,4867.94772
127,12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.54259037,0.468493268,38.86811018,6746.4546
418,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.563746659,0.466453575,40.81318096,7174.6649
391,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.569935673,0.45968428,40.56148952,7284.81478
441,12.5,0.25,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.249334678,0.379871916,29.2486781,2605.69676
16,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,1,0.1,0.340822336,0.37863215,29.63179631,3436.49354
590,25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.509782413,0.452143551,36.95787336,6202.32702
458,25,0.5,0.25,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.473458531,0.435203234,34.83881461,5902.33288
371,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.599953146,0.491813116,41.78031158,7575.80124
673,25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.392540298,0.391441876,30.60468328,4057.55521
673,25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.437609121,0.426773305,32.78937613,4700.57615
678,25,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.538593399,0.468896154,38.60776797,6467.65476
501,25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.547743879,0.464892019,37.11047048,6482.70572
441,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.425010896,0.401067837,31.67018669,4888.50303
292,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.442626748,0.438630573,33.53267475,4853.8076
515,25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.370946044,0.364725785,27.71977169,3708.20502
165,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.529162599,0.440375173,36.6742427,6594.0446
175,12.5,0.25,0.25,0.38,0.38,86,52,71.9,62,30,50.8,1,0.1,0.489326401,0.449545727,34.25153963,5728.74828
604,25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.488047919,0.416537797,36.31159312,5503.09583
94,12.5,0.25,0.25,0.25,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.437424398,0.409862936,31.86773783,4303.94303
730,25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.449875425,0.411220309,33.74349354,5124.8549
506,25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.582954458,0.492641907,40.99850428,7103.50894
572,25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.632108665,0.530933466,44.2785829,7907.24067
607,25,0.5,0.25,0.75,0.5,86,52,71.9,62,30,50.8,1,0.1,0.481472551,0.447536765,35.72822346,5403.69852
423,12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.597060641,0.497740882,41.71941614,7639.54789
661,25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.528899809,0.463502091,37.405241,6826.20873
734,25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.564794821,0.443519907,36.01862394,6870.34212
299,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.612974151,0.504056677,42.16770498,7903.51351
116,12.5,0.25,0.25,0.25,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.629606256,0.524860365,45.95298911,8263.28974
664,25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.566645314,0.436258462,39.7940564,6543.97182
568,40,0.537,0.117,0.409,0.058,86,52,71.9,62,30,50.8,24,0.39,0.402052391,0.403129918,31.86773783,4248.35505
570,25,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.498729997,0.424902006,35.93380223,6239.53349
279,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.538593399,0.446570029,36.96933887,6696.23571
384,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.506346175,0.452680279,36.31114278,6097.44285
339,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.502842336,0.458469338,36.94898618,6608.04163
517,25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.492076861,0.447853006,35.84349356,5715.0084
159,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.543968929,0.468763134,36.67145553,6687.25926
159,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.391964935,0.405976473,31.10161493,4178.77206
604,25,0.5,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.468832886,0.434132503,34.8499528,5794.89185
215,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.46555863,0.42912225,33.84753901,5367.61826
199,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.578889093,0.488527456,40.86547798,7411.17457
591,25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.353235517,0.391441876,31.86773783,4850.03746
237,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.523276949,0.456450549,36.01862394,6830.96605
233,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.559215109,0.471650366,38.34178123,7048.87072
402,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.531583632,0.445134287,36.09379556,6842.76056
283,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.621749749,0.524273231,43.43220995,8166.59786
499,25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,34,0.56,0.421629852,0.414753539,32.5057415,4696.44394
345,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.49368953,0.446450716,35.37114225,5729.56964
552,25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,34,0.56,0.425493214,0.411590845,31.1279858,4789.59697
261,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.496598201,0.44252903,34.97653895,6180.95142
337,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.481328623,0.420093742,34.0430221,5954.51315
155,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.600086778,0.491169185,41.72079694,7064.16978
667,25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.505120461,0.434863988,35.6026819,6461.67087
227,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.593029845,0.497978979,41.36494454,7570.60862
351,12.5,0.25,0.25,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.603524723,0.503663416,42.48595317,7858.68558
654,25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.536209474,0.463561831,37.52543015,6826.20873
757,25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.56383312,0.46935993,39.41382075,7284.81478
489,25,0.5,0.25,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.534251703,0.466492143,37.7247238,6526.98819
225,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.576561833,0.470176914,39.23966787,7884.56772
643,25,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.496019026,0.445339632,35.50564628,5773.62581
574,25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.534251703,0.464892019,37.87903588,6772.93347
604,25,0.5,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.502842336,0.450498441,36.46620322,6125.69538
441,25,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,1,0.1,0.451103585,0.417908804,32.9240208,1945.53061
68,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.468921469,0.419215723,35.20741312,5569.13925
204,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.559215109,0.470846733,38.3054111,7270.31832
464,25,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.489723491,0.433844688,34.70788043,5639.4452
124,12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,1,0.1,0.635315515,0.501568683,43.2784975,7920.06175
473,25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.480072982,0.436376172,33.4416065,5817.18527
478,25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,34,0.56,0.392583006,0.409033913,31.39456852,3943.13168
524,25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,16,0.26,0.422419853,0.414272565,33.33119375,4489.22384
135,12.5,0.25,0.25,0.25,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.538604193,0.47653588,39.46947609,6279.3385
728,25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.480072982,0.436865942,34.83881461,5772.91016
479,25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.403217329,0.408088064,31.10161493,4162.76156
203,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.495987728,0.442952601,35.89837298,5501.87808
692,25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.520587192,0.433195442,35.8744954,6500.09778
515,25,0.5,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.402052391,0.40166998,32.28899894,4476.81146
704,25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.566645314,0.467723959,38.38301202,6806.49269
574,25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.527591617,0.480847944,39.81661146,7222.00462
464,25,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.389906235,0.388821721,29.73999168,3911.42225
716,25,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.132513154,0.373856466,28.88711983,1637.70402
135,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79,68.2,33,55.9,1,0.1,0.583697575,0.498475898,41.36318078,7181.42522
335,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.595052932,0.493757519,41.83380223,7071.83395
436,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.642881721,0.528322189,45.718182,7628.6476
399,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.566413581,0.472270742,36.54784977,6948.2288
301,12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,16,0.26,0.574708327,0.488568502,40.55501923,7016.89385
222,12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,34,0.56,0.603544257,0.500647106,42.18519611,7933.30235
716,25,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.542133036,0.463561831,37.20955415,6677.62443
479,25,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.456503309,0.428118259,33.99420814,5086.60991
74,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.429580755,0.393418576,31.87518207,4574.81387
322,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.584016198,0.488527456,40.26540842,7483.73632
263,12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,1,0.1,0.578889093,0.486816771,40.16166766,7222.00462
603,25,0.5,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.490242145,0.423763672,33.221987,5381.27266
581,25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.490965919,0.424902006,35.82485206,5830.89362
704,25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.49368953,0.452320672,36.14878201,5954.51315
735,25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.451012573,0.409862936,31.10161493,5086.60991
82,12.5,0.25,0.25,0.25,0.38,94.6,57.2,79,68.2,33,55.9,34,0.56,0.398487848,0.40878935,31.57410804,4045.47966
529,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.475118209,0.430905502,35.37114225,5722.57676
434,25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.532704207,0.462760521,37.54210856,7024.74836
287,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.617868887,0.513728593,44.56159301,8652.04334
219,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.564904359,0.464561582,37.53578671,6368.84982
22,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.354086468,0.350874635,27.62154773,2625.26916
703,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.435380969,0.413631524,32.81579359,4580.393
189,12.5,0.25,0.25,0.38,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.565239387,0.478135139,39.41382075,6870.34212
447,25,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.474009658,0.432722017,34.0430221,5498.58395
379,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.619006054,0.511116064,43.95536146,8090.41713
196,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.627442488,0.5145695,44.49542302,8254.12654
30,25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.262139643,0.349353787,26.10117938,2384.72892
535,25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.477123825,0.416280584,34.30007912,5336.97473
711,25,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.528886613,0.440241496,37.87903588,6749.51819
614,25,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.509158377,0.409269062,32.80490428,6157.05484
129,12.5,0.25,0.25,0.25,0.75,86,52,71.9,62,30,50.8,34,0.56,0.569713565,0.487056813,39.28816181,7215.40971
719,25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.544066693,0.464066853,37.67828481,6578.23522
457,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.509933842,0.454080207,36.31114278,6626.8515
278,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.502842336,0.450692194,36.83081961,6449.04157
443,12.5,0.25,0.38,0.63,0.5,86,52,71.9,62,30,50.8,24,0.39,0.605758307,0.500653697,41.78212739,7303.58812
337,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.481204499,0.418055839,37.38218685,6034.64214
335,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.58492102,0.485218942,40.54647951,7293.53617
333,12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,1,0.1,0.566350244,0.474798231,39.18675925,6691.04322
68,12.5,0.25,0.25,0.25,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.52661476,0.460180133,37.81761708,6589.27898
627,25,0.5,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.410253857,0.408088064,31.67018669,4303.94303
743,25,0.5,0.38,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.595052932,0.494864674,41.54582537,7714.3231
469,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.603493403,0.503991707,42.17176453,7738.88171
312,12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,1,0.1,0.550864261,0.471828735,39.98873363,7564.77493
712,25,0.5,0.38,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.513772901,0.45370258,36.6742427,5946.15842
482,25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.553032347,0.473088807,38.64034468,6677.62443
181,12.5,0.25,0.25,0.38,0.63,86,52,71.9,62,30,50.8,16,0.26,0.635017998,0.520003767,44.99434918,8307.38018
287,12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.587319779,0.488568502,40.33593654,7230.1325
689,25,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.57467888,0.486816771,40.86547798,7357.3589
681,25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.56581933,0.488638858,37.32322478,6580.39696
165,12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.532482559,0.46389552,37.25124178,6292.42962
152,12.5,0.25,0.25,0.38,0.38,86,52,71.9,62,30,50.8,1,0.1,0.559324725,0.480847944,38.1617313,6747.59779
169,12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.623063206,0.514790079,43.65957738,7878.81768
693,25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.494493206,0.424609234,35.26003436,5942.42162
683,25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.489823352,0.439278501,34.94364365,5773.00842
309,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.582482579,0.484791782,40.22738685,7340.46077
533,25,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.496598201,0.419747673,37.32322478,5970.68186
469,25,0.25,0.38,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.452394363,0.437922725,33.48611213,5018.45303
517,25,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.462996546,0.417947008,37.70659201,5482.0813
543,25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.406618165,0.401706613,30.13586876,4254.82514
353,12.5,0.25,0.25,0.75,0.75,86,52,71.9,62,30,50.8,16,0.26,0.518776342,0.458466804,36.97636061,6500.09778
466,25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.427977027,0.416537797,31.87518207,4865.39997
533,25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.458581988,0.408159008,32.6584962,5221.35741
534,25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.401537849,0.397617195,30.79835142,4177.0152
153,12.5,0.25,0.25,0.38,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.520592483,0.433668483,37.3001964,6274.93484
573,25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.447040787,0.426371416,33.71103509,4808.60902
487,25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.465538066,0.417908804,34.89511705,5323.30034
147,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.530112463,0.440375173,36.97636061,6451.10052
280,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.546259537,0.471161461,38.61011529,7048.87072
689,25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.483872542,0.445134287,35.14089874,5728.74828
718,25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.510668562,0.453028369,36.3863589,6292.96076
297,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.598281018,0.449077282,41.19101338,7829.514
361,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.541142146,0.463020067,39.83192591,7230.1325
589,25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.473142233,0.435764199,34.93441738,5453.99382
566,25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.490320807,0.42801212,33.84753901,5892.161
525,25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.500557995,0.442248924,36.04045222,6717.44627
588,25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,34,0.56,0.464411249,0.428903862,33.3532206,5388.50369
743,25,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.488638858,0.438875462,35.37114225,5514.66748
517,25,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.467905283,0.431946288,34.13758465,5151.38647
322,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.500207249,0.42403139,35.48700839,6515.30587
80,12.5,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.402052391,0.404796043,31.08154655,4167.45124
535,25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.473458531,0.432722017,35.11807556,5722.57676
573,25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.566319234,0.479866804,39.28816181,6994.24801
573,25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.511413154,0.433081146,36.01862394,6919.34518
106,12.5,0.25,0.25,0.25,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.39936701,0.409760795,31.85521692,4320.87416
714,25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.51204794,0.463058596,37.52274536,6465.37205
473,25,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.392540298,0.394971427,31.10161493,4062.73953
710,25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.444254359,0.394461774,31.79765098,4802.6043
446,12.5,0.25,0.38,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.635315515,0.532772006,43.95536146,7588.36096
523,25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.507541905,0.429230513,35.11873926,5755.70016
654,25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.588987285,0.494864674,41.78031158,7357.3589
434,12.5,0.25,0.38,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.63346314,0.520974303,44.72163541,8157.23694
689,25,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.551234401,0.445134287,38.82636429,6683.20061
422,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.629606256,0.520003767,43.33471751,8357.06722
585,25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.498952193,0.441974474,36.54941505,6182.75087
217,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.456503309,0.418867231,32.81456057,4968.60117
496,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.551234401,0.477832221,39.1606042,7175.06898
697,25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.470593127,0.436345708,34.89995717,6493.63712
573,25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.507541905,0.455880077,36.34050331,6254.65511
